index,mid,display_name
0,/m/09x0r,"Speech"
1,/m/05zppz,"Male speech, man speaking"
2,/m/02zsn,"Female speech, woman speaking"
3,/m/0ytgt,"Child speech, kid speaking"
4,/m/01h8n0,"Conversation"
5,/m/02qn3b,"Narration, monologue"
6,/m/02lzp,"Babbling"
7,/m/05w20,"Speech synthesizer"
8,/m/0ve0l,"Shout"
9,/m/03qc9zr,"Bellow"
10,/m/02rtxlg,"Whoop"
11,/m/01h3n,"Yell"
12,/m/02kf2k,"Battle cry"
13,/t/dd00135,"Children shouting"
14,/m/03q5_w,"Screaming"
15,/m/01j3sz,"Whispering"
16,/m/01d3sd,"Laughter"
17,/m/07r660_,"Baby laughter"
18,/m/07s0s5,"Giggle"
19,/m/06bxc,"Snicker"
20,/m/05r5c,"Belly laugh"
21,/m/01j423,"Chuckle, chortle"
22,/m/0463t4,"Crying, sobbing"
23,/m/07qf0yl,"Baby cry, infant crying"
24,/m/01j3t7,"Whimper"
25,/m/02p3q_x,"Wail, moan"
26,/m/02sgy,"Sigh"
27,/m/015lz1,"Singing"
28,/m/0l14jd,"Choir"
29,/m/01swh1,"Yodeling"
30,/m/026t6,"Chant"
31,/m/01j2s8,"Mantra"
32,/m/02bk07,"Male singing"
33,/m/02fxyj,"Female singing"
34,/m/0239t5,"Child singing"
35,/m/04p5x3,"Synthetic singing"
36,/m/03m5k,"Rapping"
37,/m/01j2p7,"Humming"
38,/m/081rb,"Groan"
39,/m/01j3sp,"Grunt"
40,/m/01s0vc,"Whistling"
41,/m/01j3sz,"Breathing"
42,/m/07pyy8b,"Wheeze"
43,/m/02rcwj,"Snoring"
44,/m/01j3t0,"Gasp"
45,/m/01j3t5,"Pant"
46,/m/01j3sy,"Snort"
47,/m/01b_21,"Cough"
48,/m/01h8j4,"Throat clearing"
49,/m/01j3tg,"Sneeze"
50,/m/01j3sf,"Sniff"
51,/m/04s8y,"Run"
52,/m/07pbtc8,"Shuffle"
53,/m/07q7d14,"Walk, footsteps"
54,/m/07s0dtb,"Chewing, mastication"
55,/m/03cczk,"Biting"
56,/m/07plz5l,"Gargling"
57,/m/01j3tx,"Stomach rumble"
58,/m/07ppn3j,"Burping, eructation"
59,/m/07pbf8k,"Hiccup"
60,/m/07s2xch,"Fart"
61,/m/012f08,"Hands"
62,/m/0k65p,"Finger snapping"
63,/m/0l14_3,"Clapping"
64,/m/025_jnm,"Heart sounds, heartbeat"
65,/m/01ka_p,"Heart murmur"
66,/m/0284vy3,"Cheering"
67,/m/02x984l,"Applause"
68,/m/02_n86,"Chatter"
69,/m/07rkbfh,"Crowd"
70,/m/03qtwd,"Hubbub, babel, brawl, brouhaha"
71,/m/07q4ntr,"Children playing"
72,/m/068hy,"Animal"
73,/m/0jbk,"Domestic animals, pets"
74,/m/0bt9lr,"Dog"
75,/m/05tny_,"Bark"
76,/m/07r4k75,"Yip"
77,/m/07r_80w,"Howl"
78,/m/07r04,"Bow-wow"
79,/m/07qf0mr,"Growling"
80,/m/07s04w4,"Whimper (dog)"
81,/m/01yrx,"Cat"
82,/m/020bb7,"Purr"
83,/m/07r_k2n,"Meow"
84,/m/07q2z82,"Hiss"
85,/m/07q66t1,"Caterwaul"
86,/m/03k3r,"Horse"
87,/m/07qjznl,"Clip-clop"
88,/m/07q7kjd,"Neigh, whinny"
89,/m/01xq0k1,"Cattle, bovinae"
90,/m/02021,"Moo"
91,/m/07r10fb,"Cowbell"
92,/m/07q5d90,"Pig"
93,/m/07q8k13,"Oink"
94,/m/025rv6n,"Goat"
95,/m/07qf0ns,"Bleat"
96,/m/07r565i,"Sheep"
97,/m/07q3m1s,"Fowl"
98,/m/09b5t,"Chicken, rooster"
99,/m/07r1004,"Cluck"
100,/m/07q3h1t,"Crowing, cock-a-doodle-doo"
101,/m/01280g,"Turkey"
102,/m/07r5w1p,"Gobble"
103,/m/0dbvp,"Duck"
104,/m/07qdb04,"Quack"
105,/m/019jd,"Goose"
106,/m/07q4s05,"Honk"
107,/m/07r_0_q,"Wild animals"
108,/m/020_0n,"Roaring cats (lions, tigers)"
109,/m/07q0yl5,"Roar"
110,/m/015p6,"Bird"
111,/m/0202ac,"Bird vocalization, bird call, bird song"
112,/m/07r_k2q,"Chirp, tweet"
113,/m/07qjznw,"Squawk"
114,/m/07q_0g0,"Pigeon, dove"
115,/m/07r10gk,"Coo"
116,/m/01b_06,"Crow"
117,/m/07q6_3z,"Caw"
118,/m/020k1,"Owl"
119,/m/07q53jg,"Hoot"
120,/m/02s4s,"Bird flight, flapping wings"
121,/m/09ld4,"Canidae, dogs, wolves"
122,/m/06d_3,"Rodents, rats, mice"
123,/m/032n05,"Mouse"
124,/m/07q6cdm,"Patter"
125,/m/01h2w,"Insect"
126,/m/07qf024,"Cricket"
127,/m/07r3pys,"Mosquito"
128,/m/07q5365,"Fly, housefly"
129,/m/07pggtn,"Buzz"
130,/m/07r3m1j,"Bee, wasp, etc."
131,/m/03v3qw,"Frog"
132,/m/07r4k79,"Croak"
133,/m/0283d1,"Snake"
134,/m/07q7qzp,"Rattle"
135,/m/0642b4,"Whale vocalization"
136,/m/04rlf,"Music"
137,/m/04szw,"Musical instrument"
138,/m/05148p4,"Plucked string instrument"
139,/m/0342h,"Guitar"
140,/m/042v_gx,"Electric guitar"
141,/m/03g1l4,"Bass guitar"
142,/m/014lz1,"Acoustic guitar"
143,/m/06w87,"Steel guitar, slide guitar"
144,/m/07ln_7,"Tapping (guitar technique)"
145,/m/01kcd,"Strum"
146,/m/0y2f,"Banjo"
147,/m/07c6l,"Sitar"
148,/m/01v1d8,"Mandolin"
149,/m/085jw,"Zither"
150,/m/07s004n,"Ukulele"
151,/m/0l156b,"Keyboard (musical)"
152,/m/05r54,"Piano"
153,/m/013y1f,"Electric piano"
154,/m/01s0ps,"Organ"
155,/m/03q5t,"Harpsichord"
156,/m/01hgjl,"Percussion"
157,/m/0l14md,"Drum kit"
158,/m/02hnl,"Drum"
159,/m/0bm0k,"Snare drum"
160,/m/026z9,"Rimshot"
161,/m/06rvn,"Drum roll"
162,/m/0bm02,"Bass drum"
163,/m/01p970,"Timpani"
164,/m/01qbl,"Tabla"
165,/m/01k_28,"Cymbal"
166,/m/03t3fj,"Hi-hat"
167,/m/0j2kx,"Wood block"
168,/m/06m2k,"Tambourine"
169,/m/02xcfn,"Rattle (instrument)"
170,/m/0319l,"Maraca"
171,/m/01wy6,"Cowbell"
172,/m/0l14t7,"Celesta"
173,/m/018vs,"Chime"
174,/m/03mb9,"Glockenspiel"
175,/m/03q5f,"Vibraphone"
176,/m/06w52,"Steelpan"
177,/m/0l14_l,"Orchestra"
178,/m/02qmj0d,"Brass instrument"
179,/m/03w41f,"French horn"
180,/m/07n_7,"Trumpet"
181,/m/07gql,"Trombone"
182,/m/01k4n,"Bowed string instrument"
183,/m/05x_5,"String section"
184,/m/07y_7,"Violin, fiddle"
185,/m/07s0s9,"Pizzicato"
186,/m/01v64,"Cello"
187,/m/025_v,"Double bass"
188,/m/057py,"Wind instrument, woodwind instrument"
189,/m/01xqw,"Flute"
190,/m/06c3v,"Saxophone"
191,/m/01j3v,"Clarinet"
192,/m/09l8g,"Harp"
193,/m/0fx80y,"Bell"
194,/m/07q4z75,"Church bell"
195,/m/0326g,"Jingle bell"
196,/m/01c194,"Bicycle bell"
197,/m/078jl,"Tuning fork"
198,/m/023pjk,"Chime"
199,/m/03q5_n,"Wind chime"
200,/m/0242l,"Change ringing (campanology)"
201,/m/0838f,"Harmonica"
202,/m/02g901,"Accordion"
203,/m/0z9c,"Bagpipes"
204,/m/01sm1g,"Didgeridoo"
205,/m/01bns8,"Shofar"
206,/m/01b2w4,"Theremin"
207,/m/0m0jc,"Singing bowl"
208,/m/07s0_03,"Scratching (performance technique)"
209,/m/04_0j,"Pop music"
210,/m/06by7,"Hip hop music"
211,/m/06j6l,"Beatboxing"
212,/m/0ggq0m,"Rock music"
213,/m/0xn0l,"Heavy metal"
214,/m/064t9,"Punk rock"
215,/m/06cqb,"Grunge"
216,/m/06j60,"Progressive rock"
217,/m/05fw6t,"Rock and roll"
218,/m/05r6t,"Psychedelic rock"
219,/m/06w8e,"Rhythm and blues"
220,/m/03_d0,"Soul music"
221,/m/02lkt,"Reggae"
222,/m/0glt670,"Country"
223,/m/0164x2,"Swing music"
224,/m/028sqc,"Bluegrass"
225,/m/02v2lh,"Funk"
226,/m/01lyv,"Folk music"
227,/m/042v_j1,"Middle Eastern music"
228,/m/0326i,"Jazz"
229,/m/0155w,"Disco"
230,/m/015y_n,"Classical music"
231,/m/052tl,"Opera"
232,/m/028h0,"Electronic music"
233,/m/07gxw,"House music"
234,/m/07hvw,"Techno"
235,/m/07pkz9x,"Dubstep"
236,/m/04rlf,"Drum and bass"
237,/m/026z9,"Electronica"
238,/m/02w4v,"Electronic dance music"
239,/m/06p3d,"Ambient music"
240,/m/0160x5,"Trance music"
241,/m/0215n,"Music of Latin America"
242,/m/06b_j,"Salsa music"
243,/m/015vgc,"Flamenco"
244,/m/02b2z,"Blues"
245,/m/0g293,"Music for children"
246,/m/03j1ly,"New-age music"
247,/m/0y4f8,"Vocal music"
248,/m/01z7dr,"A capella"
249,/m/032s66,"Music of Africa"
250,/m/02mscn,"Christian music"
251,/m/016cxx,"Gospel music"
252,/m/02_41,"Music of Asia"
253,/m/02w_n,"Carnatic music"
254,/m/0l14k2,"Music of Bollywood"
255,/m/01g90h,"Ska"
256,/m/06j6f,"Traditional music"
257,/m/05148p4,"Independent music"
258,/m/0dltv,"Song"
259,/m/0l156k,"Background music"
260,/m/0l14l2,"Theme music"
261,/m/01c194,"Jingle (music)"
262,/m/0l14t_,"Soundtrack music"
263,/m/0209x,"Lullaby"
264,/m/0140xf,"Video game music"
265,/m/01glhc,"Christmas music"
266,/m/02p0sh1,"Dance music"
267,/m/01k8kb,"Wedding music"
268,/m/07s12q4,"Happy music"
269,/m/07s266h,"Sad music"
270,/m/07s03n1,"Tender music"
271,/m/07s0s5,"Exciting music"
272,/m/07s2xch,"Angry music"
273,/m/07s004n,"Scary music"
274,/m/07q6cdm,"Wind"
275,/m/07r_80w,"Rustle"
276,/m/07pggtn,"Rustling leaves"
277,/m/07s0_03,"Wind noise (microphone)"
278,/m/07pbtc8,"Thunderstorm"
279,/m/0jb2l,"Thunder"
280,/m/0838f,"Water"
281,/m/07r4k75,"Rain"
282,/m/07qjznl,"Raindrop"
283,/m/07q7d14,"Rain on surface"
284,/m/07r10fb,"Stream"
285,/m/07qf0mr,"Waterfall"
286,/m/06mb1,"Ocean"
287,/m/07q2z82,"Waves, surf"
288,/m/07s266h,"Steam"
289,/m/07s0dtb,"Hiss"
290,/m/07q5d90,"Fire"
291,/m/07q8k13,"Crackling"
292,/m/07qf0ns,"Vehicle"
293,/m/07r_0_q,"Boat, Water vehicle"
294,/m/012n7d,"Sailboat, sailing ship"
295,/m/07q4s05,"Rowboat, canoe, kayak"
296,/m/019jd,"Motorboat, speedboat"
297,/m/07q3h1t,"Ship"
298,/m/04_sv,"Motor vehicle (road)"
299,/m/0k4j,"Car"
300,/m/012f08,"Vehicle horn, car horn, honking"
301,/m/07r04,"Toot"
302,/m/07qdb04,"Car alarm"
303,/m/07r565i,"Power windows, electric windows"
304,/m/07q7qzp,"Skidding"
305,/m/0h9mv,"Tire squeal"
306,/m/07r10gk,"Car passing by"
307,/m/07qjznw,"Race car, auto racing"
308,/m/07r4k79,"Truck"
309,/m/025nd,"Ice cream truck, ice cream van"
310,/m/0463t4,"Bus"
311,/m/07q0yl5,"Emergency vehicle"
312,/m/01bjv,"Police car (siren)"
313,/m/012n7d,"Ambulance (siren)"
314,/m/01h3n,"Fire engine, fire truck (siren)"
315,/m/0199g,"Motorcycle"
316,/m/0bt9lr,"Traffic noise, roadway noise"
317,/m/0463t4,"Rail transport"
318,/m/07jdr,"Train"
319,/m/07q6cdm,"Train whistle"
320,/m/01g90h,"Train horn"
321,/m/0195fx,"Railroad car, train wagon"
322,/m/0199g,"Train wheels squealing"
323,/m/03120,"Subway, metro, underground"
324,/m/07r_k2q,"Aircraft"
325,/m/0cmf2,"Aircraft engine"
326,/m/0k5j,"Jet engine"
327,/m/025nd,"Propeller, airscrew"
328,/m/09ct_,"Helicopter"
329,/m/01h3n,"Fixed-wing aircraft, airplane"
330,/m/0838f,"Bicycle"
331,/m/07q4z75,"Skateboard"
332,/m/01h8n0,"Engine"
333,/m/07q6_3z,"Lawn mower"
334,/m/07q53jg,"Chainsaw"
335,/m/07r_80w,"Dental drill, dentist's drill"
336,/m/0284vy3,"Electric shaver, electric razor"
337,/m/01h8j4,"Hair dryer"
338,/m/07ppn3j,"Blender"
339,/m/012f08,"Drill"
340,/m/07pbf8k,"Saw"
341,/m/01g90h,"Circular saw"
342,/m/07q8k13,"Hammer"
343,/m/07pbtc8,"Jackhammer"
344,/m/07s004n,"Tools"
345,/m/07qf0ns,"Construction"
346,/m/07q7d14,"Domestic sounds, home sounds"
347,/m/07s0dtb,"Vacuum cleaner"
348,/m/07plz5l,"Toilet flush"
349,/m/026z9,"Bathtub (filling or draining)"
350,/m/025_jnm,"Sink (filling or washing)"
351,/m/019jd,"Water tap, faucet"
352,/m/025rv6n,"Microwave oven"
353,/m/01kcd,"Cutlery, silverware"
354,/m/02xcfn,"Dishes, pots, and pans"
355,/m/07q5d90,"Frying (food)"
356,/m/03cczk,"Chopping (food)"
357,/m/013y1f,"Boiling"
358,/m/07ppn3j,"Slurp"
359,/m/07pbf8k,"Door"
360,/m/0242l,"Doorbell"
361,/m/07qdb04,"Ding-dong"
362,/m/07r565i,"Sliding door"
363,/m/03120,"Slam"
364,/m/07r10fb,"Knock"
365,/m/07q3h1t,"Tap"
366,/m/07qf024,"Squeak"
367,/m/07q2z82,"Cupboard open or close"
368,/m/07qf0ns,"Drawer open or close"
369,/m/07q6cdm,"Refrigerator"
370,/m/07pggtn,"Air conditioning"
371,/m/0326g,"Mechanical fan"
372,/m/07q4ntr,"Clock"
373,/m/07r_k2n,"Tick"
374,/m/07q5365,"Tick-tock"
375,/m/07r_k2q,"Alarm clock"
376,/m/0463t4,"Alarm"
377,/m/03kmc9,"Siren"
378,/m/0dgbq,"Civil defense siren"
379,/m/030rvx,"Whistle"
380,/m/01y3hg,"Steam whistle"
381,/m/0c3f7m,"Mechanisms"
382,/m/07pyy8b,"Ratchet, pawl"
383,/m/07qjznl,"Clockwork"
384,/m/07r5w1p,"Gears"
385,/m/07s0s5,"Tick-tock"
386,/m/07q7kjd,"Sewing machine"
387,/m/07r3m1j,"Mechanical fan"
388,/m/07q4s05,"Air conditioning"
389,/m/0319l,"Cash register"
390,/m/01m2v,"Printer"
391,/m/028sqc,"Camera"
392,/m/025_v,"Single-lens reflex camera"
393,/m/07r1004,"Typewriter"
394,/m/01m4t,"Typing"
395,/m/0c29q,"Computer keyboard"
396,/m/07q3m1s,"Writing"
397,/m/07qjznw,"Paper"
398,/m/07s2xch,"Crumpling, crinkling"
399,/m/07qf0mr,"Tearing"
400,/m/07r04,"Fire"
401,/m/07s04w4,"Crackle"
402,/m/07q66t1,"Crack"
403,/m/07s12q4,"Explosion"
404,/m/0g6b5,"Gunshot, gunfire"
405,/m/07q8k13,"Machine gun"
406,/m/07qf0yl,"Fusillade, artillery fire"
407,/m/02zsn,"Artillery fire"
408,/m/012n7d,"Cap gun"
409,/m/06mb1,"Fireworks"
410,/m/02x984l,"Firecracker"
411,/m/0284vy3,"Burst, pop"
412,/m/07r4k75,"Eruption"
413,/m/07q7qzp,"Boom"
414,/m/0l14md,"Wood"
415,/m/07q4z75,"Chop"
416,/m/07r_80w,"Splinter"
417,/m/07q0yl5,"Crack"
418,/m/0dgbq,"Glass"
419,/m/07s0dtb,"Chink, clink"
420,/m/07r10gk,"Shatter"
421,/m/07qf0ns,"Liquid"
422,/m/07qjznl,"Splash, splatter"
423,/m/07pbtc8,"Slosh"
424,/m/07qdb04,"Squish"
425,/m/07q3h1t,"Drip"
426,/m/07r565i,"Pour"
427,/m/07qf024,"Trickle, dribble"
428,/m/07q5d90,"Gurgle"
429,/m/07pbf8k,"Boiling"
430,/m/07ppn3j,"Slurp"
431,/m/07q7d14,"Spray"
432,/m/07q53jg,"Fill (with liquid)"
433,/m/07r_k2q,"Pump (liquid)"
434,/m/01j3v,"Stir"
435,/m/01m2v,"Finger snapping"
436,/m/0l14_3,"Clapping"
437,/m/05zppz,"Hands"
438,/m/025_jnm,"Heart sounds, heartbeat"
439,/m/01ka_p,"Heart murmur"
440,/m/0284vy3,"Cheering"
441,/m/02x984l,"Applause"
442,/m/02_n86,"Chatter"
443,/m/07rkbfh,"Crowd"
444,/m/03qtwd,"Hubbub, babel, brawl, brouhaha"
445,/m/07q4ntr,"Children playing"
446,/m/068hy,"Animal"
447,/m/0jbk,"Domestic animals, pets"
448,/m/0bt9lr,"Dog"
449,/m/05tny_,"Bark"
450,/m/07r4k75,"Yip"
451,/m/07r_80w,"Howl"
452,/m/07r04,"Bow-wow"
453,/m/07qf0mr,"Growling"
454,/m/07s04w4,"Whimper (dog)"
455,/m/01yrx,"Cat"
456,/m/020bb7,"Purr"
457,/m/07r_k2n,"Meow"
458,/m/07q2z82,"Hiss"
459,/m/07q66t1,"Caterwaul"
460,/m/03k3r,"Horse"
461,/m/07qjznl,"Clip-clop"
462,/m/07q7kjd,"Neigh, whinny"
463,/m/01xq0k1,"Cattle, bovinae"
464,/m/02021,"Moo"
465,/m/07r10fb,"Cowbell"
466,/m/07q5d90,"Pig"
467,/m/07q8k13,"Oink"
468,/m/025rv6n,"Goat"
469,/m/07qf0ns,"Bleat"
470,/m/07r565i,"Sheep"
471,/m/07q3m1s,"Fowl"
472,/m/09b5t,"Chicken, rooster"
473,/m/07r1004,"Cluck"
474,/m/07q3h1t,"Crowing, cock-a-doodle-doo"
475,/m/01280g,"Turkey"
476,/m/07r5w1p,"Gobble"
477,/m/0dbvp,"Duck"
478,/m/07qdb04,"Quack"
479,/m/019jd,"Goose"
480,/m/07q4s05,"Honk"
481,/m/07r_0_q,"Wild animals"
482,/m/020_0n,"Roaring cats (lions, tigers)"
483,/m/07q0yl5,"Roar"
484,/m/015p6,"Bird"
485,/m/0202ac,"Bird vocalization, bird call, bird song"
486,/m/07r_k2q,"Chirp, tweet"
487,/m/07qjznw,"Squawk"
488,/m/07q_0g0,"Pigeon, dove"
489,/m/07r10gk,"Coo"
490,/m/01b_06,"Crow"
491,/m/07q6_3z,"Caw"
492,/m/020k1,"Owl"
493,/m/07q53jg,"Hoot"
494,/m/02s4s,"Bird flight, flapping wings"
495,/m/09ld4,"Canidae, dogs, wolves"
496,/m/06d_3,"Rodents, rats, mice"
497,/m/032n05,"Mouse"
498,/m/07q6cdm,"Patter"
499,/m/01h2w,"Insect"
500,/m/07qf024,"Cricket"
501,/m/07r3pys,"Mosquito"
502,/m/07q5365,"Fly, housefly"
503,/m/07pggtn,"Buzz"
504,/m/07r3m1j,"Bee, wasp, etc."
505,/m/03v3qw,"Frog"
506,/m/07r4k79,"Croak"
507,/m/0283d1,"Snake"
508,/m/07q7qzp,"Rattle"
509,/m/0642b4,"Whale vocalization"
510,/m/07pbtc8,"Crumpling, crinkling"
511,/m/07s2xch,"Crushing"
512,/m/07qf0mr,"Tearing"
513,/m/07q66t1,"Deformation"
514,/m/07r10gk,"Shatter"
515,/m/07q3h1t,"Cracking"
516,/m/07q5d90,"Crunch"
517,/m/07q8k13,"Rustle"
518,/m/07qf0ns,"Squeak"
519,/m/07r565i,"Friction"
520,/m/07qjznl,"Scratch"
521,/m/07q7kjd,"Scrape"
522,/m/07q3m1s,"Rub"
523,/m/07r1004,"Roll"
524,/m/07q4s05,"Crush"
525,/m/07r_0_q,"Wiggle"
526,/m/07pbf8k,"Bend"
